Detector, Descriptor,Average_det_desc, Img1_det,Img1_des,det_des_1,Img2_det,Img2_des,det_des_2,Img3_det,Img3_des,det_des_3,Img4_det,Img4_des,det_des_4,Img5_det,Img5_des,det_des_5,Img6_det,Img6_des,det_des_6,Img7_det,Img7_des,det_des_7,Img8_det,Img8_des,det_des_8,Img9_det,Img9_des,det_des_9,Img10_det,Img10_des,det_des_10,Average_det_desc
BRISK,ORB,38.1599,30.0927,9.2271,39.3198,29.7682,8.8373,38.6055,29.1505,8.6992,37.8497,30.1298,9.0635,39.1933,29.3002,8.8497,38.1499,29.2447,8.7984,38.0431,28.8493,8.7578,37.6071,28.4726,8.7605,37.2331,29.2566,8.8759,38.1325,28.6133,8.8517,37.4650,38.1599
BRISK,FREAK,61.6631,30.5434,34.1919,64.7353,29.9094,34.5003,64.4097,28.4116,33.0934,61.5050,28.6029,31.8111,60.4140,28.9231,32.8882,61.8113,29.1922,31.9228,61.1150,28.6256,32.1982,60.8238,28.7050,31.9528,60.6578,28.5564,31.7313,60.2877,28.4312,32.4403,60.8715,61.6631
BRISK,SIFT,112.6024,46.5869,74.1350,120.7219,43.8681,64.5253,108.3934,46.7225,67.1710,113.8935,44.0030,68.5795,112.5825,45.3741,68.7834,114.1575,43.0372,65.3679,108.4051,44.6411,68.8963,113.5374,43.9703,65.8090,109.7793,43.0040,76.2419,119.2459,43.2421,62.0652,105.3073,112.6024
ORB,BRISK,14.7223,81.3745,1.3113,82.6858,5.0463,1.0179,6.0642,16.3922,1.0235,17.4157,4.5926,1.1319,5.7245,4.6960,1.1110,5.8070,4.5126,1.1976,5.7102,4.6025,1.2314,5.8340,4.7384,1.2243,5.9628,4.7813,1.2154,5.9967,4.8141,1.2086,6.0227,14.7223
ORB,BRIEF,20.1527,80.3148,0.7747,81.0895,5.0697,0.2970,5.3668,16.3395,0.7428,17.0823,15.2470,0.7815,16.0285,15.9684,0.7562,16.7246,15.9249,0.8792,16.8041,15.6893,0.8266,16.5159,7.1803,0.6108,7.7911,15.7301,0.8630,16.5931,7.1762,0.3547,7.5309,20.1527
ORB,ORB,29.9825,80.6219,9.2151,89.8370,4.7644,9.1361,13.9004,4.8181,8.6071,13.4252,4.7852,9.5619,14.3471,13.3793,13.9156,27.2949,14.1803,14.3049,28.4852,14.0362,14.2303,28.2665,13.9165,14.0170,27.9335,13.1013,13.6244,26.7257,15.0135,14.5964,29.6099,29.9825
ORB,FREAK,52.9391,80.6702,33.0424,113.7126,4.9399,32.6276,37.5675,16.8525,40.4225,57.2750,14.8552,38.0864,52.9416,16.3836,39.4470,55.8306,4.5291,29.8850,34.4141,9.9842,43.1734,53.1576,4.6231,29.7152,34.3383,4.6357,30.1650,34.8007,16.3384,39.0148,55.3532,52.9391
ORB,SIFT,87.1262,19.7663,75.4580,95.2243,8.1120,68.0712,76.1832,8.3619,74.6091,82.9710,7.7568,78.4434,86.2002,8.0512,71.5012,79.5524,8.0235,75.6789,83.7024,7.9965,80.7083,88.7048,8.0368,85.0210,93.0578,8.0025,88.1719,96.1744,7.9981,81.4935,89.4916,87.1262
AKAZE,BRISK,44.0101,44.2116,1.4582,45.6698,41.4070,1.6844,43.0914,40.2673,1.4472,41.7145,40.5071,1.4414,41.9485,42.4155,1.5177,43.9332,43.1255,1.5088,44.6343,41.1859,1.5719,42.7578,44.8936,1.5796,46.4732,42.5923,1.5831,44.1754,44.0885,1.6149,45.7034,44.0101
AKAZE,BRIEF,50.3566,41.9770,0.6018,42.5788,40.5057,0.5660,41.0717,60.3273,0.8890,61.2163,59.4424,0.5516,59.9940,41.4300,0.6124,42.0424,59.3154,0.5629,59.8783,40.7942,0.5916,41.3858,53.1184,0.5829,53.7013,47.4792,0.5928,48.0720,53.0313,0.5941,53.6254,50.3566
AKAZE,ORB,52.5394,41.2894,6.1199,47.4093,40.7551,6.7143,47.4694,41.4490,5.7299,47.1789,57.5234,5.7564,63.2798,42.1389,5.9318,48.0707,58.8195,6.0258,64.8453,41.5673,6.1910,47.7583,45.9755,6.0254,52.0009,40.4737,6.1054,46.5791,54.9978,5.8047,60.8025,52.5394
AKAZE,FREAK,79.8823,44.9720,33.5571,78.5291,40.3914,35.2877,75.6791,61.0671,35.4387,96.5058,39.0387,34.3307,73.3694,42.5211,33.5847,76.1058,40.0878,33.4852,73.5730,55.5712,33.6276,89.1988,40.3531,33.7121,74.0652,39.7270,33.5374,73.2644,54.9219,33.6106,88.5325,79.8823
AKAZE,SIFT,137.4315,119.1030,32.4627,151.5657,100.0370,31.2121,131.2491,100.2650,31.7573,132.0223,101.8650,31.8488,133.7138,102.2240,33.6031,135.8271,104.8740,32.9458,137.8198,103.9960,33.1738,137.1698,104.7900,34.5076,139.2976,103.5500,34.3298,137.8798,102.4210,35.3492,137.7702,137.4315
SIFT,BRISK,156.5631,175.3700,1.8651,177.2351,164.2970,1.7352,166.0322,137.4560,1.6525,139.1085,129.9830,1.7188,131.7018,136.2070,1.8920,138.0990,164.4390,1.7926,166.2316,160.5380,1.7070,162.2450,159.4780,1.8977,161.3757,158.6170,2.0621,160.6791,161.1360,1.7866,162.9226,156.5631
SIFT,BRIEF,164.8741,172.1030,0.8827,172.9857,162.8050,0.7271,163.5321,160.8650,0.6780,161.5430,166.8660,0.7619,167.6279,162.3880,0.7927,163.1807,165.4210,0.7813,166.2023,162.7420,0.7647,163.5067,161.8450,0.7714,162.6164,161.9150,0.8148,162.7298,164.0700,0.7461,164.8161,164.8741
SIFT,FREAK,208.4729,170.1510,45.0446,215.1956,160.9630,45.4526,206.4156,160.3960,47.4581,207.8541,162.7560,45.1214,207.8774,162.8850,45.2681,208.1531,162.5070,45.0670,207.5740,163.4650,45.1221,208.5871,162.2660,44.9750,207.2410,163.3060,45.2032,208.5092,162.4540,44.8683,207.3223,208.4729
SIFT,SIFT,235.8312,180.6180,121.7030,302.3210,130.1190,97.1628,227.2818,131.5690,96.3781,227.9471,133.8640,96.8336,230.6976,131.6050,101.4400,233.0450,132.0130,94.4590,226.4720,130.6180,91.9890,222.6070,130.1090,95.2962,225.4052,134.6430,98.3012,232.9442,133.3840,96.2071,229.5911,235.8312
